0 of 10008 tasks cached; running 10008 on 12 workers
  1/6732 tasks, 3.8 min elapsed
  18/6732 tasks, 4.4 min elapsed
  28/6732 tasks, 5.9 min elapsed
  37/6732 tasks, 6.8 min elapsed
  41/6732 tasks, 7.4 min elapsed
  50/6732 tasks, 7.9 min elapsed
  61/6732 tasks, 12.3 min elapsed
  70/6732 tasks, 12.8 min elapsed
  73/6732 tasks, 13.8 min elapsed
  79/6732 tasks, 14.3 min elapsed
  82/6732 tasks, 15.2 min elapsed
  86/6732 tasks, 15.7 min elapsed
  90/6732 tasks, 16.3 min elapsed
  91/6732 tasks, 18.5 min elapsed
  94/6732 tasks, 19.6 min elapsed
  98/6732 tasks, 20.1 min elapsed
  103/6732 tasks, 21.0 min elapsed
  107/6732 tasks, 21.5 min elapsed
  112/6732 tasks, 22.3 min elapsed
  119/6732 tasks, 23.0 min elapsed
  121/6732 tasks, 25.8 min elapsed
  124/6732 tasks, 26.7 min elapsed
  131/6732 tasks, 27.2 min elapsed
  133/6732 tasks, 28.0 min elapsed
  140/6732 tasks, 28.7 min elapsed
  141/6732 tasks, 29.3 min elapsed
  149/6732 tasks, 29.8 min elapsed
  151/6732 tasks, 32.5 min elapsed
  153/6732 tasks, 33.6 min elapsed
  159/6732 tasks, 34.1 min elapsed
  163/6732 tasks, 34.9 min elapsed
  171/6732 tasks, 35.6 min elapsed
  173/6732 tasks, 36.4 min elapsed
  179/6732 tasks, 37.0 min elapsed
  181/6732 tasks, 39.7 min elapsed
  184/6732 tasks, 40.5 min elapsed
  191/6732 tasks, 41.2 min elapsed
  192/6732 tasks, 41.7 min elapsed
  197/6732 tasks, 42.2 min elapsed
  201/6732 tasks, 42.9 min elapsed
  204/6732 tasks, 43.5 min elapsed
  211/6732 tasks, 46.3 min elapsed
  213/6732 tasks, 47.2 min elapsed
  216/6732 tasks, 47.8 min elapsed
  222/6732 tasks, 48.3 min elapsed
  223/6732 tasks, 48.9 min elapsed
  229/6732 tasks, 49.5 min elapsed
  232/6732 tasks, 50.0 min elapsed
  235/6732 tasks, 50.7 min elapsed
  241/6732 tasks, 53.7 min elapsed
  244/6732 tasks, 54.3 min elapsed
  247/6732 tasks, 55.0 min elapsed
  253/6732 tasks, 55.8 min elapsed
  257/6732 tasks, 56.4 min elapsed
  261/6732 tasks, 57.0 min elapsed
  265/6732 tasks, 57.7 min elapsed
  269/6732 tasks, 58.2 min elapsed
  271/6732 tasks, 60.6 min elapsed
  272/6732 tasks, 61.1 min elapsed
  276/6732 tasks, 61.8 min elapsed
  279/6732 tasks, 62.3 min elapsed
  283/6732 tasks, 63.0 min elapsed
  287/6732 tasks, 63.6 min elapsed
  292/6732 tasks, 64.3 min elapsed
  295/6732 tasks, 64.9 min elapsed
  301/6732 tasks, 68.1 min elapsed
  305/6732 tasks, 68.7 min elapsed
  307/6732 tasks, 69.3 min elapsed
  313/6732 tasks, 70.1 min elapsed
  316/6732 tasks, 70.7 min elapsed
  321/6732 tasks, 71.2 min elapsed
  323/6732 tasks, 71.9 min elapsed
  328/6732 tasks, 72.5 min elapsed
  331/6732 tasks, 75.4 min elapsed
  334/6732 tasks, 76.2 min elapsed
  338/6732 tasks, 76.8 min elapsed
  343/6732 tasks, 77.8 min elapsed
  347/6732 tasks, 78.3 min elapsed
  352/6732 tasks, 79.2 min elapsed
  358/6732 tasks, 79.8 min elapsed
  361/6732 tasks, 83.1 min elapsed
  364/6732 tasks, 83.6 min elapsed
  370/6732 tasks, 84.3 min elapsed
  373/6732 tasks, 85.1 min elapsed
  377/6732 tasks, 85.6 min elapsed
  381/6732 tasks, 86.3 min elapsed
  384/6732 tasks, 86.9 min elapsed
  391/6732 tasks, 90.2 min elapsed
  393/6732 tasks, 90.8 min elapsed
  395/6732 tasks, 91.4 min elapsed
  403/6732 tasks, 92.6 min elapsed
  408/6732 tasks, 93.1 min elapsed
  413/6732 tasks, 93.6 min elapsed
  442/6732 tasks, 94.1 min elapsed
  457/6732 tasks, 94.7 min elapsed
  467/6732 tasks, 95.2 min elapsed
  489/6732 tasks, 95.7 min elapsed
  517/6732 tasks, 96.2 min elapsed
  550/6732 tasks, 96.7 min elapsed
  582/6732 tasks, 97.2 min elapsed
  609/6732 tasks, 97.7 min elapsed
  645/6732 tasks, 98.3 min elapsed
  702/6732 tasks, 98.8 min elapsed
  729/6732 tasks, 99.3 min elapsed
  765/6732 tasks, 99.8 min elapsed
  819/6732 tasks, 100.3 min elapsed
  865/6732 tasks, 101.3 min elapsed
  901/6732 tasks, 101.9 min elapsed
  932/6732 tasks, 102.4 min elapsed
  961/6732 tasks, 103.0 min elapsed
  993/6732 tasks, 103.5 min elapsed
  1021/6732 tasks, 104.0 min elapsed
  1049/6732 tasks, 104.5 min elapsed
  1081/6732 tasks, 105.1 min elapsed
  1113/6732 tasks, 105.6 min elapsed
  1141/6732 tasks, 106.1 min elapsed
  1169/6732 tasks, 106.7 min elapsed
  1200/6732 tasks, 107.2 min elapsed
  1225/6732 tasks, 107.7 min elapsed
  1258/6732 tasks, 108.2 min elapsed
  1284/6732 tasks, 108.7 min elapsed
  1309/6732 tasks, 109.2 min elapsed
  1350/6732 tasks, 109.7 min elapsed
  1379/6732 tasks, 110.2 min elapsed
